,shortName,address,city,vipZone,ramp,person,Prime,latitude,longitude
93,ОО «Чусовский» Филиала № 6318 Банка ВТБ (ПАО),"Пермский край, г. Чусовой, ул. Электродеповская, д. 13",Чусовой,False,False,True,False,58.292733,57.838847
94,ОО «Шимановский» Филиала № 2754 Банка ВТБ (ПАО),"Амурская область, г. Шимановск, ул. Вокзальная, 5",Шимановск,False,False,True,False,52.003973,127.683319
95,ДО № 55 «Балтийский» Филиала № 7806 Банка ВТБ (ПАО),"г. Санкт-Петербург, наб. Обводного канала, д. 120, литер 1",Санкт-Петербург,False,False,True,False,59.906932,30.298692
96,ОО «На Дзержинского» Филиала № 2754 Банка ВТБ (ПАО),"Республика Саха (Якутия), г. Якутск, ул. Дзержинского, д. 23",Якутск,True,False,True,False,62.045137,129.739778
97,РОО «Ярославский»,"Ярославская область, г. Ярославль, ул. Кирова, д. 10/25",Ярославль,True,True,True,False,57.626275,39.889277
98,ОО «Шарьинский» Филиала № 3652 Банка ВТБ (ПАО),"Костромская область, г. Шарья, ул. Чапаева, д. 7",Шарья,False,False,True,False,58.370647,45.514509
99,ОО «Московский проспект» Филиала № 3652 Банка ВТБ (ПАО),"Ярославская область, г. Ярославль, пр-т Московский, д. 147",Ярославль,False,False,True,False,57.588955,39.859615
100,ОО «Победа» Филиала № 3652 Банка ВТБ (ПАО),"Ярославская область, г. Ярославль, ул. Труфанова, д. 19",Ярославль,False,False,True,False,57.685753,39.765166
101,РОО «Воронежский»,"Воронежская область, г. Воронеж, пр-т Революции, д. 58",Воронеж,False,True,False,False,51.66401,39.203871
102,ОО «Сретенский» Филиала № 3652 Банка ВТБ (ПАО),"Ярославская область, г. Ярославль, ул. Свободы, д. 26/63",Ярославль,False,True,True,False,57.625764,39.877626
103,ОО «Ясный» Филиала № 6318 Банка ВТБ (ПАО),"Оренбургская область, г. Ясный, ул. Ленина, д. 9",Ясный,False,False,True,False,51.036011,59.872786
104,ДО «На Мойке» Филиала № 7806 Банка ВТБ (ПАО),"г. Санкт-Петербург, Аптекарский пер, д. 5, лит. А, пом. №№ 2Н, 9Н",Санкт-Петербург,False,True,True,True,59.942872,30.327169
105,ОО «Алакуртти» Филиала № 7806 Банка ВТБ (ПАО),"Мурманская область, c. Алакуртти, ул. Содружества, д. 16",с. Алакуртти,False,False,True,False,66.968769,30.334086
